City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind_Speed
0,rikitea,64,PF,1537942048,100,-23.12,-134.97,72.69,25.64
1,kruisfontein,8,ZA,1537942049,77,-34.0,24.73,61.89,14.23
2,port elizabeth,90,US,1537941300,93,39.31,-74.98,73.09,9.19
3,changli,100,CN,1537942049,100,30.54,105.42,64.41,11.21
4,samarai,80,PG,1537942050,100,-10.62,150.67,77.55,19.26
5,alice town,76,BS,1537942050,100,25.72,-79.3,84.21,16.69
6,ushuaia,0,AR,1537938000,69,-54.81,-68.31,33.8,10.29
7,vaini,12,IN,1537942051,73,15.34,74.49,85.65,4.16
8,cabo san lucas,5,MX,1537936800,74,22.89,-109.91,80.6,8.41
9,axim,92,GH,1537942051,100,4.87,-2.24,77.91,10.76
10,atuona,68,PF,1537942052,100,-9.8,-139.03,79.26,6.06
11,manado,20,ID,1537939800,44,1.49,124.85,93.2,11.41
12,krasnoarmeysk,0,RU,1537939800,80,56.12,38.15,39.2,13.42
13,ilulissat,56,GL,1537941000,54,69.22,-51.1,30.2,10.29
14,punta arenas,0,CL,1537938000,80,-53.16,-70.91,33.8,5.82
15,kutum,0,SD,1537942053,40,14.2,24.66,79.17,5.84
16,narsaq,20,GL,1537941000,64,60.91,-46.05,32.0,4.7
17,esperance,20,TT,1537938000,100,10.24,-61.45,75.2,3.38
18,sangar,56,RU,1537942054,64,63.92,127.47,48.12,3.04
19,san patricio,48,PY,1537942054,94,-26.98,-56.83,68.46,4.05
20,albany,90,US,1537941060,93,42.65,-73.75,63.28,8.05
21,busselton,32,AU,1537942055,100,-33.64,115.35,61.8,12.21
22,sobolevo,0,RU,1537942055,86,54.43,31.9,39.57,9.86
23,ballina,90,IE,1537941600,100,54.11,-9.15,57.2,13.87
24,severo-kurilsk,64,RU,1537942056,97,50.68,156.12,49.65,17.13
25,cabo rojo,32,PR,1537942056,100,18.09,-67.15,80.25,12.21
26,najran,0,SA,1537938000,21,17.54,44.22,82.4,4.16
27,barrow,80,AR,1537942057,80,-38.31,-60.23,51.72,3.04
28,souillac,0,FR,1537939800,76,45.6,-0.6,51.21,3.36
29,kapaa,90,US,1537940220,100,22.08,-159.32,78.98,8.05
30,mar del plata,0,AR,1537942058,100,-46.43,-67.52,28.14,3.15
31,saint-philippe,90,CA,1537940040,100,45.36,-73.48,60.53,2.24
